"initial_alias","converted_alias","name","description","namespace"
"LAMP2","ENSG00000005893","LAMP2","lysosomal associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CUL4B","ENSG00000158290","CUL4B","cullin 4B [Source:HGNC Symbol;Acc:HGNC:2555]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MCTS1","ENSG00000232119","MCTS1","MCTS1 re-initiation and release factor [Source:HGNC Symbol;Acc:HGNC:23357]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C1GALT1C1","ENSG00000171155","C1GALT1C1","C1GALT1 specific chaperone 1 [Source:HGNC Symbol;Acc:HGNC:24338]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"THOC2","ENSG00000125676","THOC2","THO complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:19073]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"XIAP","ENSG00000101966","XIAP","X-linked inhibitor of apoptosis [Source:HGNC Symbol;Acc:HGNC:592]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"STAG2","ENSG00000101972","STAG2","stromal antigen 2 [Source:HGNC Symbol;Acc:HGNC:11355]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SH2D1A","ENSG00000183918","SH2D1A","SH2 domain containing 1A [Source:HGNC Symbol;Acc:HGNC:10820]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OCRL","ENSG00000122126","OCRL","OCRL inositol polyphosphate-5-phosphatase [Source:HGNC Symbol;Acc:HGNC:8108]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SASH3","ENSG00000122122","SASH3","SAM and SH3 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:15975]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZDHHC9","ENSG00000188706","ZDHHC9","zinc finger DHHC-type palmitoyltransferase 9 [Source:HGNC Symbol;Acc:HGNC:18475]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UTP14A","ENSG00000156697","UTP14A","UTP14A small subunit processome component [Source:HGNC Symbol;Acc:HGNC:10665]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BCORL1","ENSG00000085185","BCORL1","BCL6 corepressor like 1 [Source:HGNC Symbol;Acc:HGNC:25657]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ELF4","ENSG00000102034","ELF4","E74 like ETS transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:3319]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AIFM1","ENSG00000156709","AIFM1","apoptosis inducing factor mitochondria associated 1 [Source:HGNC Symbol;Acc:HGNC:8768]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZFP280C","None","None","None",""
"SLC25A14","ENSG00000102078","SLC25A14","solute carrier family 25 member 14 [Source:HGNC Symbol;Acc:HGNC:10984]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RBMX2","ENSG00000134597","RBMX2","RNA binding motif protein X-linked 2 [Source:HGNC Symbol;Acc:HGNC:24282]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ENOX2","ENSG00000165675","ENOX2","ecto-NOX disulfide-thiol exchanger 2 [Source:HGNC Symbol;Acc:HGNC:2259]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"STK26","ENSG00000134602","STK26","serine/threonine kinase 26 [Source:HGNC Symbol;Acc:HGNC:18174]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RAP2C","ENSG00000123728","RAP2C","RAP2C, member of RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:21165]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MBNL3","ENSG00000076770","MBNL3","muscleblind like splicing regulator 3 [Source:HGNC Symbol;Acc:HGNC:20564]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PHF6","ENSG00000156531","PHF6","PHD finger protein 6 [Source:HGNC Symbol;Acc:HGNC:18145]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HPRT","None","None","None",""
"FAM122B","None","None","None",""
"MOSPD1","ENSG00000101928","MOSPD1","motile sperm domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25235]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RTL8A","ENSG00000203950","RTL8A","retrotransposon Gag like 8A [Source:HGNC Symbol;Acc:HGNC:24514]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RTL8B","ENSG00000212747","RTL8B","retrotransposon Gag like 8B [Source:HGNC Symbol;Acc:HGNC:33156]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"INTS6L","ENSG00000165359","INTS6L","integrator complex subunit 6 like [Source:HGNC Symbol;Acc:HGNC:27334]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MMGT1","ENSG00000169446","MMGT1","membrane magnesium transporter 1 [Source:HGNC Symbol;Acc:HGNC:28100]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC9A6","ENSG00000198689","SLC9A6","solute carrier family 9 member A6 [Source:HGNC Symbol;Acc:HGNC:11079]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HTATSF1","ENSG00000102241","HTATSF1","HIV-1 Tat specific factor 1 [Source:HGNC Symbol;Acc:HGNC:5276]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CD40LG","ENSG00000102245","CD40LG","CD40 ligand [Source:HGNC Symbol;Acc:HGNC:11935]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ARHGEF6","ENSG00000129675","ARHGEF6","Rac/Cdc42 guanine nucleotide exchange factor 6 [Source:HGNC Symbol;Acc:HGNC:685]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RBMX","ENSG00000147274","RBMX","RNA binding motif protein X-linked [Source:HGNC Symbol;Acc:HGNC:9910]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FGF13","ENSG00000129682","FGF13","fibroblast growth factor 13 [Source:HGNC Symbol;Acc:HGNC:3670]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ATP11C","ENSG00000101974","ATP11C","ATPase phospholipid transporting 11C [Source:HGNC Symbol;Acc:HGNC:13554]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FMR1","ENSG00000102081","FMR1","fragile X messenger ribonucleoprotein 1 [Source:HGNC Symbol;Acc:HGNC:3775]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GM14698","None","None","None",""
"IDS","ENSG00000010404","IDS","iduronate 2-sulfatase [Source:HGNC Symbol;Acc:HGNC:5389]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IDS","ENSG00000241489","None","novel protein","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"1110012L19RIK","None","None","None",""
"TMEM185A","ENSG00000269556","TMEM185A","transmembrane protein 185A [Source:HGNC Symbol;Acc:HGNC:17125]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MTM1","ENSG00000171100","MTM1","myotubularin 1 [Source:HGNC Symbol;Acc:HGNC:7448]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MTMR1","ENSG00000063601","MTMR1","myotubularin related protein 1 [Source:HGNC Symbol;Acc:HGNC:7449]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CD99L2","ENSG00000102181","CD99L2","CD99 molecule like 2 [Source:HGNC Symbol;Acc:HGNC:18237]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HMGB3","ENSG00000029993","HMGB3","high mobility group box 3 [Source:HGNC Symbol;Acc:HGNC:5004]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"VMA21","ENSG00000160131","VMA21","vacuolar ATPase assembly factor VMA21 [Source:HGNC Symbol;Acc:HGNC:22082]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CETN2","ENSG00000147400","CETN2","centrin 2 [Source:HGNC Symbol;Acc:HGNC:1867]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NSDHL","ENSG00000147383","NSDHL","NAD(P) dependent steroid dehydrogenase-like [Source:HGNC Symbol;Acc:HGNC:13398]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"XLR4A","None","None","None",""
"XLR3B","None","None","None",""
"XLR4B","None","None","None",""
"F8A","None","None","None",""
"XLR4C","None","None","None",""
"ZFP275","None","None","None",""
"HAUS7","ENSG00000213397","HAUS7","HAUS augmin like complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:32979]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BCAP31","ENSG00000185825","BCAP31","B cell receptor associated protein 31 [Source:HGNC Symbol;Acc:HGNC:16695]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABCD1","ENSG00000101986","ABCD1","ATP binding cassette subfamily D member 1 [Source:HGNC Symbol;Acc:HGNC:61]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IDH3G","ENSG00000067829","IDH3G","isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:5386]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SSR4","ENSG00000180879","SSR4","signal sequence receptor subunit 4 [Source:HGNC Symbol;Acc:HGNC:11326]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"L1CAM","ENSG00000198910","L1CAM","L1 cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:6470]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ARHGAP4","ENSG00000089820","ARHGAP4","Rho GTPase activating protein 4 [Source:HGNC Symbol;Acc:HGNC:674]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NAA10","ENSG00000102030","NAA10","N-alpha-acetyltransferase 10, NatA catalytic subunit [Source:HGNC Symbol;Acc:HGNC:18704]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HCFC1","ENSG00000172534","HCFC1","host cell factor C1 [Source:HGNC Symbol;Acc:HGNC:4839]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IRAK1","ENSG00000184216","IRAK1","interleukin 1 receptor associated kinase 1 [Source:HGNC Symbol;Acc:HGNC:6112]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MECP2","ENSG00000169057","MECP2","methyl-CpG binding protein 2 [Source:HGNC Symbol;Acc:HGNC:6990]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FLNA","ENSG00000196924","FLNA","filamin A [Source:HGNC Symbol;Acc:HGNC:3754]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EMD","ENSG00000102119","EMD","emerin [Source:HGNC Symbol;Acc:HGNC:3331]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RPL10","ENSG00000147403","RPL10","ribosomal protein L10 [Source:HGNC Symbol;Acc:HGNC:10298]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DNASE1L1","ENSG00000013563","DNASE1L1","deoxyribonuclease 1 like 1 [Source:HGNC Symbol;Acc:HGNC:2957]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TAZ","ENSG00000102125","TAFAZZIN","tafazzin, phospholipid-lysophospholipid transacylase [Source:HGNC Symbol;Acc:HGNC:11577]","UNIPROT_GN"
"ATP6AP1","ENSG00000071553","ATP6AP1","ATPase H+ transporting accessory protein 1 [Source:HGNC Symbol;Acc:HGNC:868]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GDI1","ENSG00000203879","GDI1","GDP dissociation inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:4226]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FAM50A","ENSG00000071859","FAM50A","family with sequence similarity 50 member A [Source:HGNC Symbol;Acc:HGNC:18786]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LAGE3","ENSG00000196976","LAGE3","L antigen family member 3 [Source:HGNC Symbol;Acc:HGNC:26058]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UBL4A","ENSG00000102178","UBL4A","ubiquitin like 4A [Source:HGNC Symbol;Acc:HGNC:12505]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC10A3","ENSG00000126903","SLC10A3","solute carrier family 10 member 3 [Source:HGNC Symbol;Acc:HGNC:22979]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FAM3A","ENSG00000071889","FAM3A","FAM3 metabolism regulating signaling molecule A [Source:HGNC Symbol;Acc:HGNC:13749]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IKBKG","ENSG00000269335","IKBKG","inhibitor of nuclear factor kappa B kinase regulatory subunit gamma [Source:HGNC Symbol;Acc:HGNC:5961]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"G6PDX","None","None","None",""
"GAB3","ENSG00000160219","GAB3","GRB2 associated binding protein 3 [Source:HGNC Symbol;Acc:HGNC:17515]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DKC1","ENSG00000130826","DKC1","dyskerin pseudouridine synthase 1 [Source:HGNC Symbol;Acc:HGNC:2890]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MPP1","ENSG00000130830","MPP1","MAGUK p55 scaffold protein 1 [Source:HGNC Symbol;Acc:HGNC:7219]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FUNDC2","ENSG00000165775","FUNDC2","FUN14 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24925]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CMC4","ENSG00000182712","CMC4","C-X9-C motif containing 4 [Source:HGNC Symbol;Acc:HGNC:35428]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MTCP1","ENSG00000214827","MTCP1","mature T cell proliferation 1 [Source:HGNC Symbol;Acc:HGNC:7423]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BRCC3","ENSG00000185515","BRCC3","BRCA1/BRCA2-containing complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:24185]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"VBP1","ENSG00000155959","VBP1","VHL binding protein 1 [Source:HGNC Symbol;Acc:HGNC:12662]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RAB39B","ENSG00000155961","RAB39B","RAB39B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:16499]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TBL1X","ENSG00000101849","TBL1X","transducin beta like 1 X-linked [Source:HGNC Symbol;Acc:HGNC:11585]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PRKX","ENSG00000183943","PRKX","protein kinase cAMP-dependent X-linked catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9441]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PRRG1","ENSG00000130962","PRRG1","proline rich and Gla domain 1 [Source:HGNC Symbol;Acc:HGNC:9469]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TAB3","ENSG00000157625","TAB3","TGF-beta activated kinase 1 (MAP3K7) binding protein 3 [Source:HGNC Symbol;Acc:HGNC:30681]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GK","ENSG00000198814","GK","glycerol kinase [Source:HGNC Symbol;Acc:HGNC:4289]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"5430427O19RIK","None","None","None",""
"POLA1","ENSG00000101868","POLA1","DNA polymerase alpha 1, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9173]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PDK3","ENSG00000067992","PDK3","pyruvate dehydrogenase kinase 3 [Source:HGNC Symbol;Acc:HGNC:8811]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZFX","ENSG00000005889","ZFX","zinc finger protein X-linked [Source:HGNC Symbol;Acc:HGNC:12869]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2S3X","None","None","None",""
"KLHL15","ENSG00000174010","KLHL15","kelch like family member 15 [Source:HGNC Symbol;Acc:HGNC:29347]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"APOO","ENSG00000184831","APOO","apolipoprotein O [Source:HGNC Symbol;Acc:HGNC:28727]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZXDB","ENSG00000198455","ZXDB","zinc finger X-linked duplicated B [Source:HGNC Symbol;Acc:HGNC:13199]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AMER1","ENSG00000184675","AMER1","APC membrane recruitment protein 1 [Source:HGNC Symbol;Acc:HGNC:26837]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LAS1L","ENSG00000001497","LAS1L","LAS1 like ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MSN","ENSG00000147065","MSN","moesin [Source:HGNC Symbol;Acc:HGNC:7373]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AR","ENSG00000169083","AR","androgen receptor [Source:HGNC Symbol;Acc:HGNC:644]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"YIPF6","ENSG00000181704","YIPF6","Yip1 domain family member 6 [Source:HGNC Symbol;Acc:HGNC:28304]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PJA1","ENSG00000181191","PJA1","praja ring finger ubiquitin ligase 1 [Source:HGNC Symbol;Acc:HGNC:16648]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IGBP1","ENSG00000089289","IGBP1","immunoglobulin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:5461]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PDZD11","ENSG00000120509","PDZD11","PDZ domain containing 11 [Source:HGNC Symbol;Acc:HGNC:28034]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KIF4","None","None","None",""
"SNX12","ENSG00000147164","SNX12","sorting nexin 12 [Source:HGNC Symbol;Acc:HGNC:14976]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FOXO4","ENSG00000184481","FOXO4","forkhead box O4 [Source:HGNC Symbol;Acc:HGNC:7139]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IL2RG","ENSG00000147168","IL2RG","interleukin 2 receptor subunit gamma [Source:HGNC Symbol;Acc:HGNC:6010]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MED12","ENSG00000184634","MED12","mediator complex subunit 12 [Source:HGNC Symbol;Acc:HGNC:11957]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZMYM3","ENSG00000147130","ZMYM3","zinc finger MYM-type containing 3 [Source:HGNC Symbol;Acc:HGNC:13054]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NONO","ENSG00000147140","NONO","non-POU domain containing octamer binding [Source:HGNC Symbol;Acc:HGNC:7871]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TAF1","ENSG00000147133","TAF1","TATA-box binding protein associated factor 1 [Source:HGNC Symbol;Acc:HGNC:11535]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OGT","ENSG00000147162","OGT","O-linked N-acetylglucosamine (GlcNAc) transferase [Source:HGNC Symbol;Acc:HGNC:8127]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CXCR3","ENSG00000186810","CXCR3","C-X-C motif chemokine receptor 3 [Source:HGNC Symbol;Acc:HGNC:4540]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NHSL2","ENSG00000204131","NHSL2","NHS like 2 [Source:HGNC Symbol;Acc:HGNC:33737]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PIN4","ENSG00000102309","PIN4","peptidylprolyl cis/trans isomerase, NIMA-interacting 4 [Source:HGNC Symbol;Acc:HGNC:8992]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ERCC6L","ENSG00000186871","ERCC6L","ERCC excision repair 6 like, spindle assembly checkpoint helicase [Source:HGNC Symbol;Acc:HGNC:20794]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RPS4X","ENSG00000198034","RPS4X","ribosomal protein S4 X-linked [Source:HGNC Symbol;Acc:HGNC:10424]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HDAC8","ENSG00000147099","HDAC8","histone deacetylase 8 [Source:HGNC Symbol;Acc:HGNC:13315]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TSIX","ENSG00000270641","TSIX","TSIX transcript, XIST antisense RNA [Source:HGNC Symbol;Acc:HGNC:12377]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"XIST","ENSG00000229807","XIST","X inactive specific transcript [Source:HGNC Symbol;Acc:HGNC:12810]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"JPX","ENSG00000225470","JPX","JPX transcript, XIST activator [Source:HGNC Symbol;Acc:HGNC:37191]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"FTX","ENSG00000230590","FTX","FTX transcript, XIST regulator [Source:HGNC Symbol;Acc:HGNC:37190]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"RLIM","ENSG00000131263","RLIM","ring finger protein, LIM domain interacting [Source:HGNC Symbol;Acc:HGNC:13429]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABCB7","ENSG00000131269","ABCB7","ATP binding cassette subfamily B member 7 [Source:HGNC Symbol;Acc:HGNC:48]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZDHHC15","ENSG00000102383","ZDHHC15","zinc finger DHHC-type palmitoyltransferase 15 [Source:HGNC Symbol;Acc:HGNC:20342]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PBDC1","ENSG00000102390","PBDC1","polysaccharide biosynthesis domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28790]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MAGEE1","ENSG00000198934","MAGEE1","MAGE family member E1 [Source:HGNC Symbol;Acc:HGNC:24934]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ATRX","ENSG00000085224","ATRX","ATRX chromatin remodeler [Source:HGNC Symbol;Acc:HGNC:886]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MAGT1","ENSG00000102158","MAGT1","magnesium transporter 1 [Source:HGNC Symbol;Acc:HGNC:28880]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COX7B","ENSG00000131174","COX7B","cytochrome c oxidase subunit 7B [Source:HGNC Symbol;Acc:HGNC:2291]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ATP7A","ENSG00000165240","ATP7A","ATPase copper transporting alpha [Source:HGNC Symbol;Acc:HGNC:869]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PGK1","ENSG00000102144","PGK1","phosphoglycerate kinase 1 [Source:HGNC Symbol;Acc:HGNC:8896]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TAF9B","ENSG00000187325","TAF9B","TATA-box binding protein associated factor 9b [Source:HGNC Symbol;Acc:HGNC:17306]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"P2RY10","ENSG00000078589","P2RY10","P2Y receptor family member 10 [Source:HGNC Symbol;Acc:HGNC:19906]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"P2RY10B","None","None","None",""
"GPR174","ENSG00000147138","GPR174","G protein-coupled receptor 174 [Source:HGNC Symbol;Acc:HGNC:30245]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ITM2A","ENSG00000078596","ITM2A","integral membrane protein 2A [Source:HGNC Symbol;Acc:HGNC:6173]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"2610002M06RIK","None","None","None",""
"BRWD3","ENSG00000165288","BRWD3","bromodomain and WD repeat domain containing 3 [Source:HGNC Symbol;Acc:HGNC:17342]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HMGN5","ENSG00000198157","HMGN5","high mobility group nucleosome binding domain 5 [Source:HGNC Symbol;Acc:HGNC:8013]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SH3BGRL","ENSG00000131171","SH3BGRL","SH3 domain binding glutamate rich protein like [Source:HGNC Symbol;Acc:HGNC:10823]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"APOOL","ENSG00000155008","APOOL","apolipoprotein O like [Source:HGNC Symbol;Acc:HGNC:24009]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CHM","ENSG00000188419","CHM","CHM Rab escort protein [Source:HGNC Symbol;Acc:HGNC:1940]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DIAPH2","ENSG00000147202","DIAPH2","diaphanous related formin 2 [Source:HGNC Symbol;Acc:HGNC:2877]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TSPAN6","ENSG00000000003","TSPAN6","tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
